Video_id,Is_Reply,Parent_Comment_ID,Comment_ID,Channel_ID,Display Name,Comment Text,Likes,Timestamp,cleaned_comment,cleaned_comment_for_sentiment,mentioned_products,language,is_english,sentiment_label,product_related
HKFdNM8Ra5Y,FALSE,,Ugx9wQyBIVTtENJDm214AaABAg,UC2ZfaZ4A4IYYzkNOA-4EuOg,@DeepSinghlive,"Well, you're the kind of creator for whom long-form content is more suitable—short-form just doesn't capture your core creativity.",0,2025-04-06T20:11:57Z,Well youre the kind of creator for whom longform content is more suitableshortform just doesnt capture your core creativity,well youre the kind of creator for whom longform content is more suitableshortform just doesnt capture your core creativity,[],en,TRUE,negative,FALSE
sCCpBbhkvcU,FALSE,,UgzQeYIYg7D420xxiQR4AaABAg,UCdI_Bzc3ddEe4q__AC_wv3g,@prodpria,fake and gay af,0,2025-06-21T02:18:10Z,fake and gay af,fake and gay af,[],so,FALSE,negative,FALSE
sCCpBbhkvcU,FALSE,,UgxZ0RjF5LaW6BX3XwR4AaABAg,UCPnGpfPLNEFQ81lYm4gdOSw,@ech0_plus968,Any ideas why mine look really bad ? no details at all etc..,0,2025-06-02T13:28:53Z,Any ideas why mine look really bad no details at all etc,any ideas why mine look really bad no details at all etc,[],en,TRUE,negative,FALSE
f1jEf_xShiY,FALSE,,UgyCjc_hskeWWplL9Bx4AaABAg,UCzMfil6hOZbJPKkvA4kILbA,@sharadkumar8365,u clealy love saying AI. and then get AI to cut it out later lol. i do agree with you though. they gotta start having more names for it.,0,2025-03-30T03:42:42Z,u clealy love saying AI and then get AI to cut it out later lol i do agree with you though they gotta start having more names for it,u clealy love saying ai and then get ai to cut it out later lol i do agree with you though they gotta start having more names for it,[],en,TRUE,neutral,FALSE
f1jEf_xShiY,FALSE,,UgypgKfvuAptS-wvUx14AaABAg,UCvqEznvKI4PY44jhm9ZatWQ,@schrottprett,too much bla bla bla and you are not funny - Sorry,0,2024-10-10T10:39:46Z,too much bla bla bla and you are not funny Sorry,too much bla bla bla and you are not funny sorry,[],en,TRUE,negative,FALSE
f1jEf_xShiY,TRUE,UgwHDww6ARRiY29C2et4AaABAg,UgwHDww6ARRiY29C2et4AaABAg.9x_ifAvb30t9yJwg0r5Xcw,UCQxECmXWmhCMcrJQ3pAHqjA,@jeffsalman2235,"Looked for the first thing in your list: ""Introduction to the challenge of turning any image into line art"" ... it's not at 00:00. Clicking on the time stamp link takes me to where he's restoring an old photo. At least that first time stamp doesn't match, so don't think the others will either. Not sure where these time stamps came from.",0,2023-12-14T22:40:00Z,Looked for the first thing in your list: Introduction to the challenge of turning any image into line art its not at 00:00 Clicking on the time stamp link takes me to where hes restoring an old photo At least that first time stamp doesnt match so dont think the others will either Not sure where these time stamps came from,looked for the first thing in your list: introduction to the challenge of turning any image into line art its not at 00:00 clicking on the time stamp link takes me to where hes restoring an old photo at least that first time stamp doesnt match so dont think the others will either not sure where these time stamps came from,[],en,TRUE,negative,FALSE
f1jEf_xShiY,FALSE,,UgyOpS5BU692zDDGeTd4AaABAg,UCNEBjP56GQVdCQE_hWsfK4A,@Miguel_and_The_Microbes,"""you may have saw?"" :-) cmonnnnnnnnnnnnnnnnnnnn man",0,2023-11-14T18:05:07Z,you may have saw : cmonnnnnnnnnnnnnnnnnnnn man,you may have saw : cmonnnnnnnnnnnnnnnnnnnn man,[],cy,FALSE,negative,FALSE
f1jEf_xShiY,FALSE,,UgwZkJruO6eV8LZBx_94AaABAg,UCoZ73_QI6uP0sYtxc_CGDRQ,@cherie-ih7ir,we white want. lol when he scrambled his words like he was a robot breaking down.....,0,2023-10-20T13:49:43Z,we white want lol when he scrambled his words like he was a robot breaking down,we white want lol when he scrambled his words like he was a robot breaking down,[],en,TRUE,neutral,FALSE
f1jEf_xShiY,FALSE,,UgywFgA4kfYVY4GCsAB4AaABAg,UCmSPgAdyBP5Ca6obqYRoDIw,@BradFrederickstudio,I appreciate the effort but pre plan. It felt completely unorganized. Once again....thank you for your efforts!,0,2023-10-19T22:10:54Z,I appreciate the effort but pre plan It felt completely unorganized Once againthank you for your efforts,i appreciate the effort but pre plan it felt completely unorganized once againthank you for your efforts,[],en,TRUE,positive,FALSE
fJB7LkXy92Y,FALSE,,Ugw_GEOiyXiLYdKUCIx4AaABAg,UC66IevcLs4rZdK9blhvvm_g,@TehButterflyEffect,"Ewww anything Apple is an immediate no.
Also, I know this is an add, but why is it vertical? Harke, you know vertical video is the worst format ever.",1,2025-02-26T04:53:10Z,Ewww anything Apple is an immediate no Also I know this is an add but why is it vertical Harke you know vertical video is the worst format ever,ewww anything apple is an immediate no also i know this is an add but why is it vertical harke you know vertical video is the worst format ever,[],en,TRUE,negative,FALSE
fE1_nHllIp8,FALSE,,Ugzjyv1RVV7Z5cpH8WJ4AaABAg,UCefY-4t4i_nmSpgGHgaAblg,@seandeneuve-cinematicandme3806,Dude your product is hard to use and none of you explain it well. Jeeez,0,2025-06-28T15:43:06Z,Dude your product is hard to use and none of you explain it well Jeeez,dude your product is hard to use and none of you explain it well jeeez,[],en,TRUE,negative,FALSE
fE1_nHllIp8,FALSE,,UgwK7dzcrznwB3IGKmJ4AaABAg,UCTaBwXB1UYo12VhN5foYj2g,@dannyblessinger7428,"This is what I hate about Adobe. It's so expensive and it's so limiting and difficult to
]The invert button when available is grayed out, so I don't even know what it exists. And how do I make a mask inside of a mask like I want to mask out the window frames of a house so I can change the color of the window frames only why is there not an option to just use the pen tool and fill it with black and make that a mask.",1,2025-04-09T17:17:37Z,This is what I hate about Adobe Its so expensive and its so limiting and difficult to ]The invert button when available is grayed out so I dont even know what it exists And how do I make a mask inside of a mask like I want to mask out the window frames of a house so I can change the color of the window frames only why is there not an option to just use the pen tool and fill it with black and make that a mask,this is what i hate about adobe its so expensive and its so limiting and difficult to ]the invert button when available is grayed out so i dont even know what it exists and how do i make a mask inside of a mask like i want to mask out the window frames of a house so i can change the color of the window frames only why is there not an option to just use the pen tool and fill it with black and make that a mask,[],en,TRUE,negative,FALSE
DvBRj--sUMU,FALSE,,UgxNahine5_lMwBZIWB4AaABAg,UCWZxioa_ug-T47c8qF2NBQQ,@m.y.a.111,"Don't be fooled they charged you an amount, after a time (1 or 2 years) they double it without warning!!! are not consistent with their tax policies!!!",0,2025-01-24T19:59:35Z,Dont be fooled they charged you an amount after a time 1 or 2 years they double it without warning are not consistent with their tax policies,dont be fooled they charged you an amount after a time 1 or 2 years they double it without warning are not consistent with their tax policies,[],en,TRUE,negative,FALSE
DvBRj--sUMU,FALSE,,UgyozM6BE7HF83qlril4AaABAg,UCyd6x9dLVV2N2BSLzp1XYJQ,@jakuzaaa123,Cannot stress how terrible adobe customer service is,0,2024-12-06T07:24:55Z,Cannot stress how terrible adobe customer service is,cannot stress how terrible adobe customer service is,[],en,TRUE,negative,FALSE
DvBRj--sUMU,FALSE,,UgxW7bdHb5VHDDt9xxt4AaABAg,UCOU9yhVXJkG9S9GH75c-B6A,@hawaiianaf2308,God damn… I wish I was graduating from high school today just so I don’t feel bad about my degree in graphic design going to waste when I become an adult.,0,2023-05-07T04:01:35Z,God damn I wish I was graduating from high school today just so I dont feel bad about my degree in graphic design going to waste when I become an adult,god damn i wish i was graduating from high school today just so i dont feel bad about my degree in graphic design going to waste when i become an adult,[],en,TRUE,negative,FALSE
